country_name,trip_type
Australia,long_term
Indonesia,visit
Zambia,long_term
Botswana,transit
Namibia,transit
Kenya,transit
Ethiopia,transit
Qatar,long_term
Germany,long_term
Netherlands,long_term
Belgium,visit
Italy,visit
Czech Republic,visit
England,visit
Scotland,visit
Spain,visit
Switzerland,visit
Austria,visit
Bulgaria,visit
Estonia,long_term
Latvia,visit
Lithuania,visit
Finland,visit
Sweden,visit
Sudan,visit
Canada,long_term
USA,long_term
UAE,visit
Iceland,transit
Turkey,transit
Hong Kong,transit
Zimbabwe,visit
India,visit
Singapore,visit
Nepal,visit
Thailand,visit
Malaysia,visit
Vietnam,visit
Cambodia,visit
Kazakhstan,visit
Hungary,visit
Slovenia,visit
Myanmar,visit
